text,intent
hows the weather?,weather_forecast
hello,small_talk.greeting
whats the weather like,weather_forecast
whats the time,get_current_time
what time is it,get_current_time
how are you,small_talk.how_am_i
how are you doing,small_talk.how_am_i
tell me a joke,small_talk.joke
what is INT OPERATOR INT,math.math
what is INT OPERATOR INT OPERATOR INT,math.math
what is INT OPERATOR INT OPERATOR INT OPERATOR INT,math.math
what is INT CONVERSION_UNIT in CONVERSION_UNIT,conversion_unit.convert_units
how many CONVERSION_UNIT are in a CONVERSION_UNIT,conversion_unit.reverse_convert_units
how much is INT CONVERSION_CURRENCY in CONVERSION_CURRENCY,conversion_currency.convert_units
